"","CUISINE.DESCRIPTION","QUARTER","AVG_SCORE"
"1","American","Q1-16",15.5
"2","American","Q2-16",15.9
"3","American","Q3-16",18.8
"4","American","Q4-16",17.4
"5","American","Q1-17",16.6
"6","American","Q2-17",17.2
"7","American","Q3-17",19.9
"8","American","Q4-17",18.5
"9","American","Q1-18",17.3
"10","American","Q2-18",18.2
"11","American","Q3-18",20.1
"12","American","Q4-18",20
"13","American","Q1-19",18.9
"14","American","Q2-19",19.5
"15","American","Q3-19",22.9
"16","American","Q4-19",26.2
"17","Bakery","Q1-16",19.3
"18","Bakery","Q2-16",16.2
"19","Bakery","Q3-16",20.3
"20","Bakery","Q4-16",19.4
"21","Bakery","Q1-17",17.1
"22","Bakery","Q2-17",17.2
"23","Bakery","Q3-17",20.6
"24","Bakery","Q4-17",21
"25","Bakery","Q1-18",18.8
"26","Bakery","Q2-18",19.1
"27","Bakery","Q3-18",24.3
"28","Bakery","Q4-18",20.2
"29","Bakery","Q1-19",19.1
"30","Bakery","Q2-19",18.1
"31","Bakery","Q3-19",25.7
"32","Bakery","Q4-19",23.8
"33","Café/Coffee/Tea","Q1-16",14.5
"34","Café/Coffee/Tea","Q2-16",15.2
"35","Café/Coffee/Tea","Q3-16",15.6
"36","Café/Coffee/Tea","Q4-16",15.2
"37","Café/Coffee/Tea","Q1-17",13.7
"38","Café/Coffee/Tea","Q2-17",16.6
"39","Café/Coffee/Tea","Q3-17",17.5
"40","Café/Coffee/Tea","Q4-17",17.9
"41","Café/Coffee/Tea","Q1-18",16.3
"42","Café/Coffee/Tea","Q2-18",15.4
"43","Café/Coffee/Tea","Q3-18",18.9
"44","Café/Coffee/Tea","Q4-18",17.7
"45","Café/Coffee/Tea","Q1-19",17
"46","Café/Coffee/Tea","Q2-19",17.9
"47","Café/Coffee/Tea","Q3-19",20.8
"48","Café/Coffee/Tea","Q4-19",19.9
"49","Caribbean","Q1-16",16.7
"50","Caribbean","Q2-16",18.9
"51","Caribbean","Q3-16",19.6
"52","Caribbean","Q4-16",18.5
"53","Caribbean","Q1-17",18
"54","Caribbean","Q2-17",20.3
"55","Caribbean","Q3-17",23.3
"56","Caribbean","Q4-17",25.2
"57","Caribbean","Q1-18",20.1
"58","Caribbean","Q2-18",23.5
"59","Caribbean","Q3-18",23.5
"60","Caribbean","Q4-18",23.2
"61","Caribbean","Q1-19",23.8
"62","Caribbean","Q2-19",25.2
"63","Caribbean","Q3-19",27.2
"64","Caribbean","Q4-19",30.9
"65","Chinese","Q1-16",15.4
"66","Chinese","Q2-16",19
"67","Chinese","Q3-16",19.4
"68","Chinese","Q4-16",19.5
"69","Chinese","Q1-17",16.9
"70","Chinese","Q2-17",20.3
"71","Chinese","Q3-17",22.8
"72","Chinese","Q4-17",22.2
"73","Chinese","Q1-18",21.1
"74","Chinese","Q2-18",19.9
"75","Chinese","Q3-18",22.6
"76","Chinese","Q4-18",22.7
"77","Chinese","Q1-19",21.9
"78","Chinese","Q2-19",22.8
"79","Chinese","Q3-19",26.6
"80","Chinese","Q4-19",33.9
"81","Italian","Q1-16",15.8
"82","Italian","Q2-16",16.9
"83","Italian","Q3-16",19.2
"84","Italian","Q4-16",18.3
"85","Italian","Q1-17",16.1
"86","Italian","Q2-17",18.2
"87","Italian","Q3-17",21.4
"88","Italian","Q4-17",20
"89","Italian","Q1-18",18.3
"90","Italian","Q2-18",19.5
"91","Italian","Q3-18",20.2
"92","Italian","Q4-18",20.6
"93","Italian","Q1-19",19
"94","Italian","Q2-19",21.1
"95","Italian","Q3-19",24.7
"96","Italian","Q4-19",25.2
"97","Japanese","Q1-16",17.4
"98","Japanese","Q2-16",16.6
"99","Japanese","Q3-16",18.7
"100","Japanese","Q4-16",18.5
"101","Japanese","Q1-17",16.8
"102","Japanese","Q2-17",19.4
"103","Japanese","Q3-17",23.7
"104","Japanese","Q4-17",20.8
"105","Japanese","Q1-18",18.1
"106","Japanese","Q2-18",20.5
"107","Japanese","Q3-18",20.2
"108","Japanese","Q4-18",20.1
"109","Japanese","Q1-19",21.5
"110","Japanese","Q2-19",21.2
"111","Japanese","Q3-19",24.1
"112","Japanese","Q4-19",27.2
"113","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q1-16",19.3
"114","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q2-16",17.8
"115","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q3-16",20.4
"116","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q4-16",19
"117","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q1-17",18.5
"118","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q2-17",20.7
"119","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q3-17",23.2
"120","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q4-17",21.8
"121","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q1-18",19.9
"122","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q2-18",20.4
"123","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q3-18",23.6
"124","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q4-18",23.7
"125","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q1-19",22.6
"126","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q2-19",23.4
"127","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q3-19",29.2
"128","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","Q4-19",29.5
"129","Mexican","Q1-16",17.6
"130","Mexican","Q2-16",17.4
"131","Mexican","Q3-16",19.5
"132","Mexican","Q4-16",19
"133","Mexican","Q1-17",16.7
"134","Mexican","Q2-17",19.8
"135","Mexican","Q3-17",21.7
"136","Mexican","Q4-17",19.2
"137","Mexican","Q1-18",16.9
"138","Mexican","Q2-18",20.8
"139","Mexican","Q3-18",21.5
"140","Mexican","Q4-18",21.4
"141","Mexican","Q1-19",20.3
"142","Mexican","Q2-19",21.2
"143","Mexican","Q3-19",26.9
"144","Mexican","Q4-19",28.9
"145","Pizza","Q1-16",13.7
"146","Pizza","Q2-16",15.5
"147","Pizza","Q3-16",18.9
"148","Pizza","Q4-16",17.9
"149","Pizza","Q1-17",15.5
"150","Pizza","Q2-17",17.3
"151","Pizza","Q3-17",20.4
"152","Pizza","Q4-17",19.8
"153","Pizza","Q1-18",17.1
"154","Pizza","Q2-18",18
"155","Pizza","Q3-18",20.6
"156","Pizza","Q4-18",19.5
"157","Pizza","Q1-19",19.8
"158","Pizza","Q2-19",19.7
"159","Pizza","Q3-19",24.7
"160","Pizza","Q4-19",26.8
